Day,ID,numGerm,percGerm,2014,2015
3,MF_195,20,1,,
5,MF_196,16,0.8,,
4,MF_197,18,0.9,,
4,MF_206,19,0.95,,
5,MF_208,19,0.95,,
5,PH_001,17,0.85,,
4,PH_002,19,0.95,,
5,PH_003,17,0.85,,
3,PH_005,15,0.75,,
3,PH_007,20,1,,
4,PH_008,10,0.5,,
5,PH_009,17,0.85,,
4,PH_010,17,0.85,,
2,PH_011,17,0.85,,
5,PH_012,16,0.8,,
5,PH_013,18,0.9,,
5,PH_014,17,0.85,,
4,PH_015,11,0.55,,
5,PH_016,20,1,,
4,PH_017,19,0.95,,
5,PH_018,19,0.95,,
4,PH_019,19,0.95,,
4,PH_020,18,0.9,,
3,PH_021,19,0.95,,
5,PH_022,16,0.8,,
2,PH_023,18,0.9,,
3,PH_023,18,0.9,,
4,PH_024,19,0.95,,
2,PH_025,20,1,,
2,PH_026,19,0.95,,
2,PH_027,14,0.7,,
5,PH_028,20,1,,
2,PH_029,19,0.95,,
4,PH_030,20,1,,
4,PH_031,19,0.95,,
4,PH_033,12,0.6,,
2,PH_034,20,1,,
4,PH_035,20,1,,
5,PH_036,18,0.9,,
3,PH_037,18,0.9,,
2,PH_038,19,0.95,,
5,PH_039,20,1,,
2,PH_040,20,1,,
4,PH_041,20,1,,
5,PH_042,19,0.95,,
2,PH_043,20,1,,
3,PH_044,17,0.85,,
5,PH_045,17,0.85,,
5,PH_046,13,0.65,,
5,PH_047,17,0.85,,
5,PH_048,10,0.5,,
3,PH_050,12,0.6,,
5,PH_051,12,0.6,,
5,PH_052,20,1,,
2,PH_053,12,0.6,,
2,PH_054,18,0.9,,
4,PH_055,18,0.9,,
4,PH_056,16,0.8,,
5,PH_057,18,0.9,,
4,PH_060,11,0.55,,
4,PH_061,19,0.95,,
4,PH_062,19,0.95,,
4,PH_063,17,0.85,,
3,PH_064,17,0.85,,
3,PH_065,20,1,,
5,PH_066,18,0.9,,
2,PH_068,10,0.5,,
4,PH_069,16,0.8,,
2,PH_070,18,0.9,,
5,PH_071,15,0.75,,
4,PH_072,18,0.9,,
3,PH_073,19,0.95,,
5,PH_074,16,0.8,,
3,PH_075,14,0.7,,
3,PH_076,19,0.95,,
5,PH_078,19,0.95,,
2,PH_079,20,1,,
5,PH_082,14,0.7,,
3,PH_083,18,0.9,,
4,PH_084,19,0.95,,
3,PH_085,17,0.85,,
3,PH_086,18,0.9,,
5,PH_087,18,0.9,,
3,PH_089,19,0.95,,
4,PH_092,18,0.9,,
3,PH_093,19,0.95,,
3,PH_094,20,1,,
4,PH_096,20,1,,
4,PH_097,20,1,,
2,PH_098,19,0.95,,
4,PH_099,19,0.95,,
5,PH_100,18,0.9,,
3,PH_101,17,0.85,,
4,PH_102,20,1,,
3,PH_103,20,1,,
2,PH_105,18,0.9,,
5,PH_106,17,0.85,,
2,PH_107,18,0.9,,
5,PH_108,20,1,,
3,PH_109,16,0.8,,
3,PH_110,20,1,,
5,PH_111,17,0.85,,
5,PH_112,18,0.9,,
3,PH_113,19,0.95,,
4,PH_114,19,0.95,,
3,PH_115,18,0.9,,
3,PH_117,18,0.9,,
5,PH_118,15,0.75,,
2,PH_119,19,0.95,,
4,PH_120,18,0.9,,
3,PH_121,19,0.95,,
2,PH_122,17,0.85,,
5,PH_123,16,0.8,,
4,PH_124,18,0.9,,
3,PH_125,20,1,,
3,PH_127,20,1,,
5,PH_129,14,0.7,,
3,PH_130,19,0.95,,
3,PH_131,19,0.95,,
4,PH_132,19,0.95,,
5,PH_133,17,0.85,,
5,PH_134,20,1,,
4,PH_135,13,0.65,,
5,PH_136,18,0.9,,
5,PH_137,10,0.5,,
5,PH_139,17,0.85,,
3,PH_140,17,0.85,,
2,PH_141,20,1,,
4,PH_143,14,0.7,,
5,PH_144,14,0.7,,
3,PH_145,18,0.9,,
3,PH_146,20,1,,
3,PH_147,20,1,,
5,PH_149,19,0.95,,
2,PH_150,19,0.95,,
4,TB_setaria_12_0003,16,0.8,,1000+
3,TB_setaria_12_0017,17,0.85,1000+,
5,TB_setaria_12_0023,15,0.75,1000+,500+
4,TB_setaria_12_0029,9,0.45,1000+,1000+
4,TB_setaria_12_0031,18,0.9,500+,
5,TB_setaria_12_0034,9,0.45,1000+,1000+
4,TB_setaria_12_0035,10,0.5,1000+,500+
4,TB_setaria_12_0046,19,0.95,1000+,500+
3,TB_setaria_12_0048,15,0.75,1000+,500+
2,TB_setaria_12_0052,5,0.25,,500+
5,TB_setaria_12_0060,3,0.15,,1000+
5,TB_setaria_12_0063,9,0.45,,1000+
5,TB_setaria_12_0095,19,0.95,1000+,4 x 500+
3,TB_setaria_12_0097,20,1,1000+,500+
4,TB_setaria_12_0100,16,0.8,1000+,100+
5,TB_setaria_12_0101,17,0.85,1000+,1000+
5,TB_setaria_12_0103,18,0.9,1000+,100+
5,TB_setaria_12_0104,6,0.3,1000+,500+
2,TB_setaria_12_0107,14,0.7,1000+,
5,TB_setaria_12_0109,15,0.75,1000+,
2,TB_setaria_12_0122,19,0.95,1000+,500+
4,TB_setaria_12_0123,2,0.1,1000+,1000+
2,TB_setaria_12_0124,20,1,1000+,100+
4,TB_setaria_12_0125,20,1,1000+,500+
4,TB_setaria_12_0127,11,0.55,1000+,
5,TB_setaria_12_0128,18,0.9,,1000+
3,TB_setaria_12_0129,18,0.9,1000+,
3,TB_setaria_12_0130,18,0.9,500+,100+
5,TB_setaria_12_0131,17,0.85,1000+,1000+
2,TB_setaria_12_0135,17,0.85,1000+,1000+
5,TB_setaria_12_0137,18,0.9,1000+,1000+
4,TB_setaria_12_0139,9,0.45,1000+,500+
5,TB_setaria_12_0146,12,0.6,1000+,100+
5,TB_setaria_12_0155,12,0.6,1000+,1000+
5,TB_setaria_12_0157,19,0.95,1000+,2 x 1000+
5,TB_setaria_12_0159,18,0.9,1000+,
5,TB_setaria_12_0161,19,0.95,1000+,500+
5,TB_setaria_12_0165,17,0.85,1000+,100+
5,TB_setaria_12_0167,17,0.85,1000+,500+
3,TB_setaria_12_0169,18,0.9,1000+,500+
4,TB_setaria_12_0204,19,0.95,1000+,1000+
5,TB_setaria_12_0206,20,1,500+,500+
5,TB_setaria_12_0212,17,0.85,1000+,100+
3,TB_setaria_12_0226,19,0.95,1000+,1000+
3,TB_setaria_12_0255,11,0.55,1000+,1000+
4,TB_setaria_12_0256,19,0.95,1000+,500+
3,TB_setaria_12_0260,20,1,1000+,500+
5,TB_setaria_12_0265,14,0.7,1000+,1000+
5,TB_setaria_12_0266,20,1,1000+,1000+
5,TB_setaria_12_0274,8,0.4,1000+,500+
5,TB_setaria_12_0275,9,0.45,500+,1000+
4,TB_setaria_12_0278,16,0.8,1000+,100+
2,TB_setaria_12_0281,15,0.75,1000+,1000+
3,TB_setaria_12_0282,18,0.9,1000+,500+
5,TB_setaria_12_0285,10,0.5,500+,500+
3,TB_setaria_12_0292,11,0.55,500+,
5,TB_setaria_12_0294,14,0.7,500+,
5,TB_setaria_12_0296,19,0.95,1000+,500+
4,TB_setaria_12_0297,11,0.55,1000+,500+
4,TB_setaria_12_0299,14,0.7,1000+,
3,TB_setaria_12_0309,16,0.8,1000+,500+
3,TB_setaria_12_0310,19,0.95,1000+,1000+
3,TB_setaria_12_0311,6,0.3,1000+,500+
5,TB_setaria_12_0314,17,0.85,1000+,1000+
5,TB_setaria_12_0315,14,0.7,1000+,
4,TB_setaria_12_0316,13,0.65,1000+,500+
5,TB_setaria_12_0317,6,0.3,1000+,500+
3,TB_setaria_12_0319,16,0.8,1000+,100+
4,TB_setaria_12_0323,9,0.45,500+,
5,TB_setaria_12_0333,5,0.25,1000+,500+
4,TB_setaria_12_0334,6,0.3,1000+,500+
4,TB_setaria_12_0335,13,0.65,1000+,1000+
4,TB_setaria_12_0336,15,0.75,1000+,1000+
2,TB_setaria_12_0337,15,0.75,500+,500+
5,TB_setaria_12_0339,13,0.65,1000+,1000+
4,TB_setaria_12_0341,12,0.6,500+,500+
4,TB_setaria_12_0347,12,0.6,1000+,1000+
5,TB_setaria_12_0348,17,0.85,500+,
5,TB_setaria_12_0352,11,0.55,500+,100+
5,TB_setaria_12_0353,15,0.75,1000+,500+
5,TB_setaria_12_0354,13,0.65,1000+,500+
4,TB_setaria_12_0355,14,0.7,500+,100+
4,TB_setaria_12_0358,18,0.9,1000+,1000+
4,TB_setaria_12_0362,14,0.7,1000+,1000+
5,TB_setaria_12_0363,18,0.9,1000+,500+
5,TB_setaria_12_0366,19,0.95,1000+,1000+
3,TB_setaria_12_0368,15,0.75,1000+,1000+
5,TB_setaria_12_0381,18,0.9,1000+,
5,TB_setaria_12_0407,16,0.8,1000+,500+
2,TB_setaria_12_0409,17,0.85,1000+,500+
2,TB_setaria_12_0411,18,0.9,1000+,100+
3,TB_setaria_12_0412,13,0.65,,500+
5,TB_setaria_12_0418,19,0.95,,500+
4,TB_setaria_12_0420,18,0.9,1000+,1000+
4,TB_setaria_12_0428,15,0.75,500+,500+
3,TB_setaria_12_0429,19,0.95,1000+,500+
3,TB_setaria_12_0433,14,0.7,1000+,500+
2,TB_setaria_12_0434,16,0.8,1000+,1000+
4,TB_setaria_12_0435,4,0.2,1000+,500+
5,TB_setaria_12_0441,16,0.8,1000+,100+
3,TB_setaria_12_0444,19,0.95,,500+
5,TB_setaria_12_0446,15,0.75,1000+,1000+
4,TB_setaria_12_0447,19,0.95,1000+,1000+
5,TB_setaria_12_0449,5,0.25,1000+,500+
3,TB_setaria_12_0450,2,0.1,1000+,
5,TB_setaria_12_0453,12,0.6,1000+,1000+
5,TB_setaria_12_0455,11,0.55,1000+,
4,TB_setaria_12_0456,5,0.25,1000+,1000+
4,TB_setaria_12_0460,14,0.7,1000+,1000+
5,TB_setaria_12_0469,8,0.4,500+,1000+
3,TB_setaria_12_0475,17,0.85,1000+,1000+
4,TB_setaria_12_0477,13,0.65,1000+,1000+
5,TB_setaria_12_0478,11,0.55,500+,500+
4,TB_setaria_12_0487,19,0.95,1000+,1000+
3,TB_setaria_12_0488,17,0.85,1000+,1000+
3,TB_setaria_12_0490,9,0.45,1000+,
3,TB_setaria_12_0491,14,0.7,1000+,
4,TB_setaria_12_0492,16,0.8,1000+,500+
4,TB_setaria_12_0495,12,0.6,1000+,
4,TB_setaria_12_0496,8,0.4,1000+,1000+
5,TB_setaria_12_0498,4,0.2,1000+,
2,TB_setaria_12_0499,7,0.35,1000+,500+
4,TB_setaria_12_0501,10,0.5,1000+,500+
5,TB_setaria_12_0508,17,0.85,1000+,1000+
3,TB_setaria_12_0511,4,0.2,1000+,1000+
3,TB_setaria_12_0512,15,0.75,1000+,500+
3,TB_setaria_12_0513,9,0.45,1000+,1000+
5,TB_setaria_12_0529,7,0.35,500+,1000+
3,TB_setaria_12_0530,15,0.75,,1000+
3,TB_setaria_12_0531,14,0.7,,500+
3,TB_setaria_12_0534,7,0.35,,500+
4,TB_setaria_12_0544,11,0.55,,1000+
5,TB_setaria_12_0546,11,0.55,1000+,1000+
4,TB_setaria_12_0549,19,0.95,,500+
4,TB_setaria_12_0550,15,0.75,,500+
5,TB_setaria_12_0551,17,0.85,1000+,
5,TB_setaria_12_0554,9,0.45,,1000+
3,TB_setaria_12_0555,12,0.6,1000+,1000+
3,TB_setaria_12_0558,18,0.9,500+,
2,TB_setaria_12_0559,2,0.1,1000+,1000+
2,TB_setaria_12_0560,11,0.55,,500+
5,TB_setaria_12_0564,19,0.95,1000+,1000+
4,TB_setaria_12_0569,3,0.15,1000+,1000+
2,TB_setaria_12_0572,3,0.15,,500+
3,TB_setaria_12_0577,11,0.55,,1000+
5,TB_setaria_12_0580,16,0.8,1000+,1000+
5,TB_setaria_12_0582,15,0.75,1000+,1000+
5,TB_setaria_12_0586,15,0.75,1000+,500+
3,TB_setaria_12_0590,15,0.75,,500+
5,TB_setaria_12_0593,16,0.8,,500+
4,TB_setaria_12_0594,16,0.8,,5 x 1000+
5,TB_setaria_12_0597,9,0.45,,1000+
3,TB_setaria_12_0604,18,0.9,,1000+
3,TB_setaria_12_0605,17,0.85,,1000+
5,TB_setaria_12_0606,16,0.8,,500+
2,TB_setaria_12_0610,13,0.65,,1000+
3,TB_setaria_12_0611,15,0.75,,500+
4,TB_setaria_12_0638,3,0.15,,500+
5,TB_setaria_12_0641,7,0.35,,1000+